# ExperimentSet [id=resultsExperiments/timelinessDisruption/V32E2D_5.0N100TargetRandomServerNodes, localProcessingTime=50.0, masterSeed=123456, meanArrival=25.0, messageDelay=5.0, nEdges=2, nNodes=32, runNumber=100, targetComponent=null]
Target,Seed,ReqTime, quiescenceTime,deltaQT, vcFreenessTime,deltaFT, workWhenFreenessF, workWhenFreenessM, workWhenQuiescenceM, workWhenQuiescenceQ, workWhenRequestF, workWhenRequestM, workWhenRequestQ, lossWorkByQu, lossWorkByVC
C15,1702456891,250.0,1954.7804,1704.7804,1942.6862,1692.6862,541657.1,588711.1,593376.1,537570.9,27974.32,27974.32,27974.32,55805.25,47054.0
C20,-503307268,250.0,4184.519,3934.519,4181.224,3931.224,1479425.5,1722462.8,1723995.4,1465348.6,26568.684,26568.684,26568.688,258646.75,243037.25
C9,1213087600,250.0,1157.9979,907.9979,775.6515,525.6515,161420.73,174972.06,288148.1,250856.5,30400.047,30400.045,30400.045,37291.594,13551.328
C9,-1081705337,250.0,890.2945,640.2945,898.3614,648.3614,186567.05,192059.25,189912.98,183420.12,28378.082,28378.084,28378.082,6492.8594,5492.203
C23,-2965150,250.0,1871.1182,1621.1182,1546.8218,1296.8218,461207.47,485693.53,625066.06,583322.25,29532.658,29532.656,29532.658,41743.812,24486.062
C18,-1128452549,250.0,1052.9861,802.9861,986.0598,736.0598,218555.7,228038.34,245965.77,234661.64,31633.8,31633.807,31633.805,11304.109,9482.625
C2,-528027027,250.0,1705.9143,1455.9143,1538.8746,1288.8746,349065.0,380533.78,428905.25,348430.38,27992.479,27992.477,27992.477,80474.875,31468.781
C6,1980218242,250.0,2285.1892,2035.1892,2233.5063,1983.5063,431032.34,697029.75,716244.94,321971.34,29756.416,29756.414,29756.418,394273.56,265997.38
C16,-1577489105,250.0,1923.5715,1673.5715,1295.5773,1045.5773,324061.3,359631.03,592916.94,481530.9,29565.654,29565.658,29565.658,111386.0,35569.72
C15,468501319,250.0,817.45654,567.45654,592.7862,342.7862,134561.02,136464.03,219952.88,214002.69,30693.432,30693.428,30693.428,5950.1875,1903.0156
C5,-1869548146,250.0,4227.379,3977.379,1550.503,1300.503,414587.56,532128.9,1702814.9,680296.94,31358.754,31358.756,31358.754,1022517.94,117541.31
C17,-1409282735,250.0,821.18445,571.18445,444.9574,194.9574,75531.09,76693.02,203162.77,197755.56,30497.111,30497.113,30497.111,5407.203,1161.9258
C12,159747449,250.0,1045.5863,795.5863,848.53766,598.53766,208697.0,215041.69,293925.53,280911.38,26721.113,26721.113,26721.113,13014.141,6344.6875
C22,2084122642,250.0,1166.4912,916.4912,1133.9482,883.94824,329330.75,351817.62,365823.88,339102.9,30637.213,30637.213,30637.21,26720.969,22486.875
C6,176527414,250.0,1152.2269,902.2269,1094.2998,844.2998,245469.19,265017.66,282693.2,252699.47,26535.318,26535.318,26535.318,29993.719,19548.469
C3,1949557543,250.0,926.1628,676.1628,777.7981,527.7981,161833.84,167903.27,210741.4,195289.25,29820.33,29820.332,29820.33,15452.156,6069.422
C3,-2124536784,250.0,1518.1384,1268.1384,625.9436,375.9436,126835.16,130657.766,412361.75,355949.78,30739.604,30739.607,30739.61,56411.97,3822.6016
C25,-1402574388,250.0,1260.6017,1010.6017,1260.6017,1010.6017,272394.12,292460.34,292460.34,266673.34,28515.703,28515.707,28515.707,25786.984,20066.203
C10,357533351,250.0,1039.8894,789.8894,1035.4988,785.4988,206772.08,218842.31,220054.02,205362.19,26199.408,26199.408,26199.41,14691.828,12070.234
C2,-745000173,250.0,1818.9785,1568.9785,1768.064,1518.064,308646.66,535229.6,551982.6,156532.58,29958.166,29958.166,29958.166,395450.06,226582.97
C21,119658930,250.0,909.15356,659.15356,908.4228,658.4228,205720.62,211314.19,211535.77,204682.28,31021.242,31021.242,31021.242,6853.5,5593.5625
C19,-47748695,250.0,1595.223,1345.223,1592.3271,1342.3271,424014.62,453146.22,454115.75,422093.97,33382.297,33382.297,33382.297,32021.75,29131.625
C4,732230767,250.0,1248.2998,998.2998,657.5564,407.5564,135589.2,142917.34,319366.22,271452.88,32497.63,32497.63,32497.629,47913.344,7328.1406
C20,-286604446,250.0,1737.6864,1487.6864,1732.4117,1482.4117,446828.34,481422.38,483186.62,439605.75,30312.63,30312.63,30312.63,43580.875,34594.03
C16,-1058345380,250.0,2747.4102,2497.4102,2296.2954,2046.2954,598888.75,744446.06,910682.7,655515.56,26676.86,26676.86,26676.86,255167.12,145557.31
C5,2097610983,250.0,1183.5458,933.5458,627.8179,377.81787,133518.05,135681.64,326667.78,303795.8,29571.39,29571.39,29571.39,22871.938,2163.5938
C12,408255009,250.0,5642.9463,5392.9463,5635.2964,5385.2964,2086722.2,3365539.0,3370761.2,1802388.8,25539.088,25539.088,25539.086,1568372.6,1278816.9
C8,117000257,250.0,991.77856,741.77856,991.77856,741.77856,230176.31,245624.05,245624.03,229283.12,28206.941,28206.941,28206.941,16340.906,15447.734
C23,-681037470,250.0,3012.8887,2762.8887,1758.9408,1508.9408,571298.8,631070.8,1209297.4,1048659.9,30596.82,30596.822,30596.824,160637.44,59772.0
