# ExperimentSet [id=resultsExperiments/timelinessDisruption/newexp_V16E2D25.0N100TargetRandomServerNodes, localProcessingTime=50.0, masterSeed=123456, meanArrival=25.0, messageDelay=25.0, nEdges=2, nNodes=16, runNumber=100, targetComponent=null]
Target,Seed,ReqTime, quiescenceTime,deltaQT, vcFreenessTime,deltaFT, concurVersTime, deltaCT, workWhenFreenessF, workWhenFreenessM, workWhenQuiescenceQ, workWhenQuiescenceM, workWhenConcurVersFreenessC, workWhenConcurVersFreenessM, workWhenRequestMQFC, lossWorkByQuiescence, lossWorkByVC_Blocking, lossWorkByVC_ConcurVers 
C3,-1668190253,250.0,3047.9119,2797.9119,2443.706,2193.706,2443.706,2193.706,188819.36,277199.7,111462.88,354799.8,268397.44,277199.7,13022.819,243336.94,88380.33,8802.25
C9,1799436767,250.0,1924.7178,1674.7178,1998.7217,1748.7217,1998.7217,1748.7217,167168.83,212991.75,144359.88,202893.77,211690.47,212991.72,10446.715,58533.89,45822.92,1301.25
C2,-1555590367,250.0,1654.6012,1404.6012,1554.2472,1304.2472,1554.2472,1304.2472,113871.79,156680.58,68563.35,169453.8,151650.75,156680.58,10661.46,100890.45,42808.797,5029.8438
C6,650433521,250.0,1402.4069,1152.4069,1488.247,1238.247,1488.247,1238.247,115994.61,137905.22,100937.46,128539.555,136874.66,137905.22,10258.268,27602.094,21910.61,1030.5625
C5,-648533003,250.0,1804.4398,1554.4398,1729.78,1479.78,1729.78,1479.78,105911.4,179299.8,71956.625,188940.25,174216.98,179299.8,9952.458,116983.625,73388.41,5082.8125
C9,412928697,250.0,2675.164,2425.164,2128.1895,1878.1895,2128.1895,1878.1895,220659.62,306856.88,217199.97,410690.5,301039.25,306856.8,10899.818,193490.53,86197.25,5817.5625
C5,952822115,250.0,2449.4688,2199.4688,2362.8376,2112.8376,2362.8376,2112.8376,160875.77,266149.75,113032.07,275714.03,262415.28,266149.75,11622.069,162681.97,105273.984,3734.4688
C2,-1720755923,250.0,3861.8857,3611.8857,4037.074,3787.074,4037.074,3787.074,281044.72,568726.25,86420.5,539471.7,550956.06,568726.3,10427.595,453051.16,287681.5,17770.25
C8,713249548,250.0,1111.4637,861.46375,1070.7897,820.7897,1070.7897,820.7897,73429.125,79884.4,70306.64,83405.73,78620.43,79884.4,9949.679,13099.086,6455.2734,1263.9688
C8,826247555,250.0,2200.2883,1950.2883,2005.615,1755.615,2005.615,1755.615,188255.14,226893.12,192408.45,254534.12,224863.31,226893.12,10917.04,62125.656,38637.984,2029.8125
C2,785368874,250.0,4290.6934,4040.6934,2492.1519,2242.1519,2492.1519,2242.1519,307839.84,351972.3,453742.38,705559.44,347906.16,351972.3,10929.843,251817.1,44132.47,4066.1562
C3,1006981601,250.0,1724.3453,1474.3453,571.7398,321.7398,571.7398,321.7398,37302.535,38612.805,185540.73,206817.03,38344.305,38612.8,8842.568,21276.297,1310.2715,268.49805
C1,114827670,250.0,1628.5281,1378.5281,789.72534,539.72534,789.72534,539.72534,58843.36,67660.29,98698.6,151194.14,66279.16,67660.29,13680.831,52495.54,8816.93,1381.1328
C7,316430616,250.0,2276.0117,2026.0117,1681.732,1431.732,1681.732,1431.732,170793.1,207200.12,209981.11,302098.2,203747.98,207200.12,11663.843,92117.08,36407.03,3452.1406
C8,-406689046,250.0,2430.913,2180.913,2202.6846,1952.6846,2202.6846,1952.6846,165511.73,260450.0,132620.66,293678.4,253334.62,260449.98,10744.513,161057.77,94938.266,7115.3594
C9,-9578651,250.0,2034.4515,1784.4515,754.0199,504.0199,754.0199,504.0199,61814.773,63765.418,218992.22,249678.56,63395.074,63765.418,11246.457,30686.344,1950.6445,370.34375
C2,103950130,250.0,2356.897,2106.897,2063.0684,1813.0684,2063.0684,1813.0684,162192.52,254907.95,89356.016,301239.4,239293.92,254907.94,10326.444,211883.4,92715.44,15614.016
C2,428964495,250.0,514.6427,264.6427,566.7688,316.7688,566.7688,316.7688,37269.254,38445.04,31590.98,33231.69,38208.12,38445.035,10577.844,1640.7109,1175.7852,236.91406
C7,277769676,250.0,1257.0684,1007.06836,1239.7708,989.77075,1239.7708,989.77075,93583.555,106618.31,90241.23,108780.37,105808.875,106618.31,10612.848,18539.133,13034.766,809.4375
